!method	chdir
!cutoff	500
!direction	down
FAM213A	-0.02424
CSRP2	-0.02416
CCDC109B	-0.02416
LYSMD2	-0.02405
RPS23	-0.02373
NELL2	-0.02373
CALB2	-0.02372
GPR128	-0.02353
CD82	-0.02347
TRIM55	-0.02347
SMOC1	-0.02347
NKX3-2	-0.02339
SNF8	-0.02339
FLRT3	-0.02333
CHIC2	-0.0233
GNG2	-0.02329
SIPA1L2	-0.02325
DDX46	-0.02322
MPC2	-0.02305
SNAPC4	-0.02297
SRRT	-0.02294
FNBP4	-0.02291
LPPR5	-0.02287
FRAS1	-0.02284
BMP5	-0.02278
TOPBP1	-0.02275
SAFB2	-0.02273
C15orf39	-0.02272
DENND5B	-0.0227
AP1S2	-0.02264
ZMPSTE24	-0.02264
TGFBI	-0.0226
ARGLU1	-0.02258
LRP1B	-0.02256
SRSF6	-0.02252
TENM4	-0.0225
CCDC14	-0.0225
SNORA61	-0.0224
PTPN13	-0.02238
SRPK1	-0.02225
PAPOLA	-0.02217
CRELD2	-0.02208
ANTXR2	-0.02199
UBE2J1	-0.02191
ARHGAP44	-0.02189
BMP7	-0.02187
ZNF503	-0.02176
NXPH2	-0.02172
IGFBP3	-0.0217
MEIS2	-0.02165
ANGPTL2	-0.02163
DNAJC9	-0.02144
PARM1	-0.02136
RAB11FIP3	-0.02135
STK36	-0.02132
RBM45	-0.0212
EPM2AIP1	-0.02115
CD52	-0.02113
ALPK2	-0.02097
DNAJC15	-0.02089
E4F1	-0.02082
IGFBP7	-0.02081
STC2	-0.02078
MPPED2	-0.02072
SH3GLB1	-0.02072
DYNLL1	-0.02061
CLDN15	-0.02059
COLGALT2	-0.02057
TPM1	-0.02055
CALM1	-0.02054
PCDH7	-0.02051
COL9A2	-0.0205
NAP1L3	-0.02047
ST7	-0.02035
MT1F	-0.02031
SRSF2	-0.02028
CENPF	-0.02014
EFNB3	-0.02009
AMH	-0.02008
DACT3	-0.02006
HIST1H2BH	-0.02006
ANXA1	-0.02004
BMPER	-0.02004
CACNG1	-0.02003
LAMC1	-0.01999
COL1A1	-0.01994
NRIP1	-0.01986
COLEC11	-0.01983
NKTR	-0.01977
ZMIZ1	-0.01973
COMMD1	-0.01967
IGF2R	-0.01961
NCOA5	-0.01952
PCNT	-0.01943
EZH2	-0.01939
DIP2B	-0.01938
BAG3	-0.01936
PCED1B	-0.01936
PAF1	-0.01925
COL5A2	-0.01924
TECRL	-0.01915
BRK1	-0.01915
PHLDA1	-0.01912
ACTC1	-0.01909
SLC25A13	-0.01908
MAT2A	-0.01907
SPTAN1	-0.01903
CTSV	-0.01896
P2RY11	-0.01895
AKR1C3	-0.01886
CEP95	-0.01886
SYNCRIP	-0.01883
POLE3	-0.01877
ACOX2	-0.01874
NNAT	-0.01872
IGSF3	-0.0187
MPP6	-0.01869
STAMBPL1	-0.01868
TPCN2	-0.01862
ACSL1	-0.01861
WDR77	-0.01861
FASN	-0.0186
BTAF1	-0.01858
HOXB5	-0.01854
MPC1	-0.01852
BCLAF1	-0.0185
LAMP5	-0.0184
REC8	-0.01835
EHD1	-0.01831
DHX34	-0.01828
ARHGAP21	-0.01828
DUSP12	-0.01819
KPNB1	-0.01818
MOK	-0.01817
EXOSC8	-0.01807
